Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2009-01-19,VIVA Provides Wireless Media Information Technology Services.,VIVA,https://www.crunchbase.com/organization/viva,"Advertising, Broadcasting, Marketing, Media and Entertainment, Mobile, News, Service Industry, Social Media, TV","Beijing, Beijing, China, Asia",Series A - VIVA,https://www.crunchbase.com/funding_round/viva-series-a--45b3ec8f,2,"Highland Capital Partners, Ventech China",Early Stage Venture,,Series A,3,10000000,USD,10000000,,,,40000000,USD,40000000,Yes,,http://www.vivame.cn,Less than $1M,Late Stage Venture,2,"537,090"
2010-12-21,Yicai is a language and media platform for financial investors.,Yicai,https://www.crunchbase.com/organization/yicai-c48e,"Digital Media, Finance, Sharing Economy","Jingan, Shanghai, China, Asia",Series A - Yicai,https://www.crunchbase.com/funding_round/yicai-c48e-series-a--129de961,4,"CBC Capital, China Merchants Venture Capital, Dazhong Ziben, New Alliance Capital",Early Stage Venture,,Series A,2,240000000,CNY,36043488,,,,1440000000,CNY,230117879,Yes,,http://www.yicai.com,,,,"537,267"
2010-01-01,iSoftStone provides end-to-end software development and consulting services and solutions for Chinese and global clients.,iSoftStone,https://www.crunchbase.com/organization/isoftstone,"Consulting, Information Services, Information Technology, IT Management, Outsourcing","Beijing, Beijing, China, Asia",Series C - iSoftStone,https://www.crunchbase.com/funding_round/isoftstone-series-c--fdce83ce,4,"AsiaVest Partners, Everbright, IPV Capital, Mitsui Global Investment",Late Stage Venture,,Series C,5,,,,,,,46500000,USD,46500000,Yes,,http://www.isoftstone.com,,IPO,,"537,425"
2010-03-01,3i Systems Corporation is an entrepreneurial firm focused on large-scale optoelectronic equipments.,3i Systems,https://www.crunchbase.com/organization/3i-systems,"Enterprise Software, Industrial, Semiconductor","Guangdong, Jilin, China, Asia",Venture Round - 3i Systems,https://www.crunchbase.com/funding_round/3i-systems-series-unknown--89994c98,2,"BlueRun Ventures, Shenzhen Capital Group",,,Venture - Series Unknown,3,5000000,USD,5000000,,,,13708150,USD,13708150,Yes,,http://www.3i-systems.com.cn,$1M to $10M,,1,"537,478"
2010-11-01,Keyto specializes in the production of key electrical and mechanical components for microfluid system controls.,Keyto,https://www.crunchbase.com/organization/keyto-0bb2,"Manufacturing, Medical, Medical Device","Shenzhen, Guangdong, China, Asia",Angel Round - Keyto,https://www.crunchbase.com/funding_round/keyto-0bb2-angel--22b627ce,2,"China Merchants Venture Capital, Yifeng Capital",Seed,,Angel,9,,,,,,,100000000,CNY,14918693,Yes,,https://www.keyto.com/,,,,"537,533"
2010-04-01,Mango Excellent Media is a Broadcasting company,Happigo,https://www.crunchbase.com/organization/mango-excellent-media,"Broadcasting, E-Commerce, Internet, Shopping","Shanghai, Shanghai, China, Asia",Series A - Happigo,https://www.crunchbase.com/funding_round/mango-excellent-media-series-a--1fbf4d64,3,"CPE, Hony Capital, HSG",Early Stage Venture,,Series A,4,330000000,CNY,48337377,,,,2070500000,CNY,300607881,Yes,,http://www.happigo.com/,$100M to $500M,IPO,,"538,122"
2010-01-01,Red Star Macalline is a furniture retailer in China.,Red Star Macalline,https://www.crunchbase.com/organization/red-star-macalline,E-Commerce,"Shanghai, Shanghai, China, Asia",Private Equity Round - Red Star Macalline,https://www.crunchbase.com/funding_round/red-star-macalline-private-equity--704dff8b,4,"Bohai Industrial Investment Fund Management, CPE, Fosun International, Warburg Pincus",Private Equity,,Private Equity,2,2600000000,CNY,380742680,,,,6960000000,CNY,1014122984,Yes,,https://www.chinaredstar.com/,$1B to $10B,IPO,,"538,597"
2010-02-27,Dnion is a CDN technology company that provides professional internet platform services.,Dnion,https://www.crunchbase.com/organization/dnion,"Content, Information Technology, Internet","Putuo, Shanghai, China, Asia",Series A - Dnion,https://www.crunchbase.com/funding_round/dnion-series-a--4c401f8e,4,"Jiexun Keji, Jinshi Investment, Shenzhenshi Hongyuanjing Maoyi Youxian Gongsi, Yintong Lianhe",Early Stage Venture,,Series A,4,10000000,CNY,1464503,,,,63000000,CNY,9966364,Yes,,http://www.dnion.com/,$1M to $10M,IPO,,"539,672"
2009-04-14,"Kaixin is a Chinese social networking service for white-collar urbanites, providing tools such as blogging, photo sharing, and social games.",Kaixin001,https://www.crunchbase.com/organization/kaixin,"Photo Sharing, Social Media, Social Network","Beijing, Beijing, China, Asia",Series B - Kaixin001,https://www.crunchbase.com/funding_round/kaixin-series-b--b6e9a428,3,"Ceyuan Ventures, Northern Light Venture Capital, Qiming Venture Partners",Early Stage Venture,,Series B,3,20000000,USD,20000000,,,,124000000,USD,124000000,Yes,,http://www.kaixin001.com,$1M to $10M,Late Stage Venture,1,"543,680"
2010-12-30,Hoteam Software is a provider of enterprise transformation intelligent manufacturing solution services.,Hoteam Software,https://www.crunchbase.com/organization/hoteam-software,"Intelligent Systems, Manufacturing, Software","Jinan, Shandong, China, Asia",Angel Round - Hoteam Software,https://www.crunchbase.com/funding_round/hoteam-software-angel--471b9fc3,4,"CVIC SE, Jinan SCI-TECH Venture, Lucion, Shandong Hoteam Technologies",Seed,,Angel,5,3000000,CNY,454460,,,,106644402,USD,106644402,Yes,,http://www.hoteamsoft.com,$1M to $10M,Late Stage Venture,,"543,980"
