Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2017-08-30,Kuaizu365 is an online marketplace that provides computer and office equipment.,Kuaizu365,https://www.crunchbase.com/organization/kuaizu365,"Computer, E-Commerce, Wholesale","Hongkou, Shanghai, China, Asia",Series A - Kuaizu365,https://www.crunchbase.com/funding_round/kuaizu365-series-a--b7a998b3,1,Legend Capital,Early Stage Venture,,Series A,3,10000000,CNY,1516168,,,,20000000,CNY,3025845,Yes,,http://www.kuaizu365.cn,,Early Stage Venture,,"560,131"
2017-08-30,Chongxin Chongwu is a professional pet health solutions and service provider.,Chongxin Chongwu,https://www.crunchbase.com/organization/chongxin-chongwu,"Health Care, Hospital, Pet","Hangzhou, Zhejiang, China, Asia",Series A - Chongxin Chongwu,https://www.crunchbase.com/funding_round/chongxin-chongwu-series-a--ef27af52,2,"PreAngel, South China Venture Capital",Early Stage Venture,,Series A,3,3000000,CNY,454850,,,,4500000,CNY,683399,Yes,,http://www.ichongxin.com,,Early Stage Venture,,"562,481"
2017-07-24,BAI JIA HUI SU HE PHARMACY is a pharmacy retail chain.,BAI JIA HUI SU HE PHARMACY,https://www.crunchbase.com/organization/bai-jia-hui-su-he-pharmacy,"Medical, Retail, Supply Chain Management","Suzhou, Jiangsu, China, Asia",Angel Round - BAI JIA HUI SU HE PHARMACY,https://www.crunchbase.com/funding_round/bai-jia-hui-su-he-pharmacy-angel--0c7ebcf1,1,LBX Pharmacy,Seed,,Angel,1,3000000,CNY,444385,,,,3000000,CNY,444385,Yes,,http://www.jsbjh.com,,Seed,,"563,441"
2017-08-16,Renren Jiang is an online teaching platform.,Renren Jiang,https://www.crunchbase.com/organization/renren-jiang,"E-Learning, Education, Mobile Apps","Haidian, Beijing, China, Asia",Seed Round - Renren Jiang,https://www.crunchbase.com/funding_round/renren-jiang-seed--0e6fb86d,2,"Hantan Capital, Rootscap",Seed,,Seed,3,10000000,CNY,1494742,,,,6080232,USD,6080232,Yes,,http://www.renrenjiang.cn,,Early Stage Venture,,"563,456"
2017-07-05,Sinopharm Online is a pharmaceutical retail platform.,Sinopharm Online,https://www.crunchbase.com/organization/sinopharm-online,"Pharmaceutical, Retail","Shanghai, Shanghai, China, Asia",Series A - Sinopharm Online,https://www.crunchbase.com/funding_round/sinopharm-online-series-a--45eb5873,2,"Lang Sheng Investment, YF Capital",Early Stage Venture,,Series A,3,120000000,CNY,17644010,,,,420000000,CNY,62222520,Yes,,http://www.sinopharm.com/,$10B+,Early Stage Venture,,"560,204"
2017-09-06,GREEN CAMP is a camp education institution for primary and secondary school students.,GREEN CAMP,https://www.crunchbase.com/organization/green-camp,"Children, EdTech, Education","Haidian, Beijing, China, Asia",Series A - GREEN CAMP,https://www.crunchbase.com/funding_round/green-camp-series-a--e3105a91,1,Duizhan Touzi,Early Stage Venture,,Series A,3,10000000,CNY,1533501,,,,33000000,CNY,4873889,Yes,,http://www.qingqingbuluo.com/,,Early Stage Venture,,"560,217"
2017-09-02,Qixing Tonglian provides external big data services for financial institutions.,Qixing Tonglian,https://www.crunchbase.com/organization/qixing-tonglian,"Big Data, Finance, FinTech, Software","Xiamen, Fujian, China, Asia",Angel Round - Qixing Tonglian,https://www.crunchbase.com/funding_round/qixing-tonglian-angel--7166591b,2,"QF Capital, Shanghai Tianneng Enterprise Management Consulting",Seed,,Angel,2,,,,,,,10000000,CNY,1469659,Yes,,http://www.ssit-xm.com.cn,,Early Stage Venture,,"569,947"
2017-07-13,Ainsurtech is an online insurance brokerage service provider.,Ainsurtech,https://www.crunchbase.com/organization/ainsurtech,"Financial Services, Insurance, Legal","Shanghai, Shanghai, China, Asia",Angel Round - Ainsurtech,https://www.crunchbase.com/funding_round/ainsurtech-angel--3e9fb93d,2,"Huiqiu Touzi, Pros Partners",Seed,,Angel,2,3000000,CNY,442307,,,,13000000,CNY,2002905,Yes,,http://ainsurtech.cn,,Early Stage Venture,,"570,177"
2017-07-07,Yibanquan is an agency for internet copyright protection.,Yibanquan,https://www.crunchbase.com/organization/yibanquan,"Apps, Legal","Beijing, Beijing, China, Asia",Angel Round - Yibanquan,https://www.crunchbase.com/funding_round/yibanquan-angel--bb7b82bc,2,"Hangzhou Qinhua Touzi Guanli Co., Ltd., Shibei Zhishi Chanquan Fuwu",Seed,,Angel,2,3000000,CNY,440862,,,,13000000,CNY,1953973,Yes,,http://www.yibanquan.com.cn/,,Early Stage Venture,,"571,268"
2017-09-14,WETEC is an IT company that specializes in big data analysis and mobile marketing services.,WETEC,https://www.crunchbase.com/organization/wetec,"Advertising, Big Data, Digital Marketing, Information Technology","Haidian, Beijing, China, Asia",Angel Round - WETEC,https://www.crunchbase.com/funding_round/wetec-angel--5fb961ee,2,"Blue Focus PR Consulting, Wanshiyihe",Seed,,Angel,2,3000000,CNY,457756,,,,33000000,CNY,4927296,Yes,,http://www.adwetec.com/ ,,Early Stage Venture,,"571,570"
2017-07-20,Meetsoon is a cloud video platform that serves the education sector.,Meetsoon,https://www.crunchbase.com/organization/meetsoon,"Education, Video, Video Conferencing","Longhua, Guangdong, China, Asia",Angel Round - Meetsoon,https://www.crunchbase.com/funding_round/meetsoon-angel--2d4df4ba,2,"Tahua Ziben, Zhangyu Guquan Touzi",Seed,,Angel,2,3000000,CNY,443814,,,,13000000,CNY,2021985,Yes,,http://www.meetsoon.cn/,,Early Stage Venture,,"572,893"
2017-08-29,Chisondo specializes in the sales of tea drinking machine products.,Chisondo,https://www.crunchbase.com/organization/chisondo,"Retail, Sales, Tea","Changshan, Hunan, China, Asia",Angel Round - Chisondo,https://www.crunchbase.com/funding_round/chisondo-angel--11083136,1,Caifu Tongchao Venture Capital,Seed,,Angel,1,3000000,CNY,454804,,,,3000000,CNY,454804,Yes,,http://www.chisondo.com,,Seed,,"573,648"
2017-09-01,P.A.I Tech is an artificial intelligence company that develops financial text reading data platform.,P.A.I Tech,https://www.crunchbase.com/organization/p-a-i-tech,"Artificial Intelligence (AI), Finance, FinTech, Information Technology","Haidian, Beijing, China, Asia",Angel Round - P.A.I Tech,https://www.crunchbase.com/funding_round/p-a-i-tech-angel--41677f95,2,"DANGDANGOK.COM, Xinktech",Seed,,Angel,2,40000000,CNY,6096399,,,,40000000,CNY,6096399,Yes,,https://paodingai.com/,,,,"573,757"
2017-09-19,Freqchip is a bluetooth chip manufacturing company that sells bluetooth SoC chips.,FREQCHIP,https://www.crunchbase.com/organization/freqchip,"Consumer Electronics, Electronics, Wireless","Shanghai, Shanghai, China, Asia",Series A - FREQCHIP,https://www.crunchbase.com/funding_round/freqchip-series-a--9f7450d0,2,"Jiaxing Junde Touzi, Xingniu Touzi",Early Stage Venture,,Series A,6,10000000,CNY,1518797,,,,133000000,CNY,20600407,Yes,,https://www.freqchip.com,,Early Stage Venture,,"573,945"
2017-08-16,Dianei is a medical artificial intelligence enterprise in precision medicine.,Dianei,https://www.crunchbase.com/organization/dianei,"Artificial Intelligence (AI), Health Care, Medical, Precision Medicine","Shanghai, Shanghai, China, Asia",Angel Round - Dianei,https://www.crunchbase.com/funding_round/dianei-angel--120cff85,2,"Huayuan Shuju, Xinyi Chuangxin Ziben",Seed,,Angel,2,3000000,CNY,448423,,,,53000000,CNY,8023779,Yes,,https://www.dianei-ai.com,,,,"577,880"
2017-08-11,Vismarty is an artificial intelligence company that provides image scene analysis services.,Vismarty,https://www.crunchbase.com/organization/vismarty,"Artificial Intelligence (AI), Computer Vision, Information Services","Xiamen, Fujian, China, Asia",Angel Round - Vismarty,https://www.crunchbase.com/funding_round/vismarty-angel--7d83ea9e,2,"Capital Nuts Investment Management Ltd, Gaoxin Kechuang",Seed,,Angel,2,3000000,CNY,450082,,,,7400000,CNY,1135398,Yes,,http://www.vismarty.com/,$1M to $10M,Early Stage Venture,,"578,038"
