Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2023-03-01,"EAVISION is a manufacturing company that focuses on the research and development of drones for various applications, including agriculture.",EAVISION,https://www.crunchbase.com/organization/eavision,"Agriculture, Artificial Intelligence (AI), Drones, Hardware","Suzhou, Jiangsu, China, Asia",Series D - EAVISION,https://www.crunchbase.com/funding_round/eavision-series-d--75fc0156,1,Wanlin Holding,Late Stage Venture,Wanlin Holding,Series D,6,7940000,CNY,1155901,,,,55578767,USD,55578767,Yes,,http://eav.top/,$10M to $50M,,,"364,666",
2023-04-17,58 Nongfu is a rural service platform that offers various government and private services for the people in the vicinity.,58 Nongfu,https://www.crunchbase.com/organization/58-nongfu,"Agriculture, Internet, Online Portals","Changshahsien, Hunan, China, Asia",Corporate Round - 58 Nongfu,https://www.crunchbase.com/funding_round/58-nongfu-corporate-round--89991a80,1,Sanjiang Shopping Club,,Sanjiang Shopping Club,Corporate Round,2,,,,,,,3000000,CNY,452180,Yes,,http://www.58yicun.com/,,,,"371,772",
2023-02-06,Tongxing Intelligence is a high-tech R&D enterprise focusing on automotive electronics and smart home.,Tongxing Intelligence,https://www.crunchbase.com/organization/tongxing-intelligence,"Automotive, Electronics, Information Technology, Simulation","Jiading, Shanghai, China, Asia",Series A - Tongxing Intelligence,https://www.crunchbase.com/funding_round/tongxing-intelligence-series-a--f3bdbb0b,2,"Harvest Capital, Spinnotec",Early Stage Venture,Harvest Capital,Series A,3,,,,,,,100000000,CNY,13808340,Yes,,http://www.tosunai.cn,,Early Stage Venture,,"379,115",
2023-05-08,"Luxet is providing advanced nano-optical detection technology for industry, scientific research, and medical circles.",Luxet,https://www.crunchbase.com/organization/luxet,"Advanced Materials, Semiconductor","Suzhou, Jiangsu, China, Asia",Seed Round - Luxet,https://www.crunchbase.com/funding_round/luxet-seed--2154eee4,1,Baoding Investment,Seed,Baoding Investment,Seed,3,,,,,,,,,,Yes,,https://www.luxet.cn/#/,,Early Stage Venture,,"427,730",
2023-04-10,Baichuan Intelligence develops general artificial intelligence services to build large model bases.,Baichuan Intelligence,https://www.crunchbase.com/organization/baichuan-intelligence,"Artificial Intelligence (AI), Generative AI, Information Services, Software","Haidian, Beijing, China, Asia",Angel Round - Baichuan Intelligence,https://www.crunchbase.com/funding_round/baichuan-intelligence-angel--a5c17ea9,1,Xiaochuan Wang,Seed,Xiaochuan Wang,Angel,3,50000000,USD,50000000,,,,740000000,USD,740000000,Yes,,https://www.baichuan-ai.com,,Early Stage Venture,,"384,131",
2023-04-13,Readline is a biological immobilized enzyme catalysis technology application service provider.,Readline,https://www.crunchbase.com/organization/readline,"Agriculture, Biotechnology, Pharmaceutical","Shenzhen, Guangdong, China, Asia",Series B - Readline,https://www.crunchbase.com/funding_round/readline-series-b--a5117099,1,Synergetic Innovation Fund Management,Early Stage Venture,Synergetic Innovation Fund Management,Series B,4,,,,,,,400000000,CNY,58427261,Yes,,https://www.szreadline.com/,$1M to $10M,Late Stage Venture,,"377,995",
2023-05-08,MAYCUR.COM provides smart cloud financial products and solutions.,MAYCUR.COM,https://www.crunchbase.com/organization/maycur-com,"Cloud Computing, Financial Services, Software","Hangzhou, Zhejiang, China, Asia",Series C - MAYCUR.COM,https://www.crunchbase.com/funding_round/maycur-com-series-c--4fc764c7,1,Shunwei Capital,Late Stage Venture,Shunwei Capital,Series C,9,200000000,CNY,28933092,,,,740000000,CNY,110007840,Yes,,https://www.maycur.com/,,Late Stage Venture,1,"380,720",
2023-01-11,Jiana Energy is a manufacturer of key materials for sodium-ion batteries.,Jiana Energy,https://www.crunchbase.com/organization/jiana-energy,"Advanced Materials, Battery, Energy Management","Shenzhen, Guangdong, China, Asia",Seed Round - Jiana Energy,https://www.crunchbase.com/funding_round/jiana-energy-seed--370c4391,1,Lightspeed China Partners,Seed,Lightspeed China Partners,Seed,3,,,,,,,,,,Yes,,http://www.janaenergy.com,,Early Stage Venture,2,"380,958",
2023-02-03,Jiamai is a new energy pneumatic component manufacturer.,Jiamai shares,https://www.crunchbase.com/organization/jiamai-shares,"Battery, Energy, Laser, Manufacturing","Longgang, Guangdong, China, Asia",Series A - Jiamai shares,https://www.crunchbase.com/funding_round/jiamai-shares-series-a--447bfc19,1,Harvest Capital,Early Stage Venture,Harvest Capital,Series A,3,,,,,,,200000000,CNY,27435457,Yes,,http://www.imaxair.com/,,,,"381,229",
2023-03-01,Future Box is a provider of prefabricated industrial digital decoration solutions.,Future Box,https://www.crunchbase.com/organization/future-box,"Industrial Manufacturing, Supply Chain Management","Fangshan, Beijing, China, Asia",Angel Round - Future Box,https://www.crunchbase.com/funding_round/future-box-angel--1de6b90e,1,Qingju Venture Capital,Seed,Qingju Venture Capital,Angel,3,,,,,,,,,,Yes,,https://www.wlhezi.com,,Seed,,"383,742",
2023-04-17,"Royma is a high-tech R&D and production enterprise integrating R&D, production, sales and service.",Royma,https://www.crunchbase.com/organization/royma,"Advanced Materials, Industrial, Service Industry","Suzhou, Jiangsu, China, Asia",Series A - Royma,https://www.crunchbase.com/funding_round/royma-series-a--31512538,1,CPE,Early Stage Venture,CPE,Series A,2,,,,,,,,,,Yes,,http://roymatek.com/,,Early Stage Venture,1,"391,754",
2023-01-09,Yingke Materials is a provider of high-performance electronic paste and powder.,Yingke Materials,https://www.crunchbase.com/organization/yingke-materials,"Electrical Distribution, Electronics, Industrial Manufacturing","Guangzhou, Guangdong, China, Asia",Angel Round - Yingke Materials,https://www.crunchbase.com/funding_round/yingke-materials-angel--0092c36e,1,Northern Light Venture Capital,Seed,Northern Light Venture Capital,Angel,2,,,,,,,,,,Yes,,,,Seed,1,"393,507",
2023-05-05,Semitech is an intelligent manufacturing system supplier focused on providing integrated manufacturing solutions for high-tech industries.,Semitech,https://www.crunchbase.com/organization/semitech,"Industrial Automation, Industrial Manufacturing, Manufacturing","Minhang, Shanghai, China, Asia",Series C - Semitech,https://www.crunchbase.com/funding_round/semitech-series-c--98a95bce,8,"Camel Ventures, Dingxin Capital, Hangzhou Leon Dongxin Microelectronics, Hefei Renfa New Energy Investment, Houxue Fund, Matrix Partners China, Skyview Fund, Yangtze River Delta Collaborative Advantage Industry Fund",Late Stage Venture,Matrix Partners China,Series C,4,500000000,CNY,72352618,5500000000,CNY,795878795,1180000000,CNY,174570173,Yes,,https://www.semi-tech.com,,Late Stage Venture,,"394,368",
2023-01-03,"Reju Therapeutics, a biopharmaceutical company, is dedicated to research and development of drugs for treating degenerative diseases.",Reju Therapeutics,https://www.crunchbase.com/organization/reju-therapeutics,"Biopharma, Pharmaceutical, Therapeutics","Nanjing, Jiangsu, China, Asia",Seed Round - Reju Therapeutics,https://www.crunchbase.com/funding_round/reju-therapeutics-seed--4a72a490,3,"Dynamic Balance Capital, Golden Rain Bogor, Zijin High-Tech Venture Capital",Seed,Dynamic Balance Capital,Seed,2,,,,,,,,,,Yes,,,,Seed,1,"431,889",
2023-01-12,Guangna Development is an optoelectronic device seller.,Guangna Development,https://www.crunchbase.com/organization/guangna-development,"Electrical Distribution, Electronics, Optical Communication","Guangzhou, Guangdong, China, Asia",Seed Round - Guangna Development,https://www.crunchbase.com/funding_round/guangna-development-seed--7e681665,1,CAS Star,Seed,CAS Star,Seed,3,,,,,,,,,,Yes,,https://www.cannanodev.com/,,Seed,,"390,277",
2023-04-17,"Shijia Technology mainly develops, produces, and sells core components, software hardware, and system solutions for air suspension systems.",Shijia Technology,https://www.crunchbase.com/organization/shijia-technology-f761,"Automotive, Hardware, Manufacturing, Software","Minhang, Shanghai, China, Asia",Seed Round - Shijia Technology,https://www.crunchbase.com/funding_round/shijia-technology-f761-seed--8a9d7ed4,2,"China Fellow Partners, Ivy Capital",Seed,Ivy Capital,Seed,2,,,,,,,,,,Yes,,https://www.sdrive-tech.com/,,Seed,2,"390,290",
2023-04-25,Zhiqin Instruments is an instrument supplier that offers full solutions for analysis and testing to important industries.,Zhiqin Instruments,https://www.crunchbase.com/organization/zhiqin-instruments,Supply Chain Management,"Shenzhen, Guangdong, China, Asia",Series A - Zhiqin Instruments,https://www.crunchbase.com/funding_round/zhiqin-instruments-series-a--927aa768,4,"Leaguer Group, Saizhi One, Shenzhen Bioeasy Biotechnology, SZHTI Group",Early Stage Venture,Saizhi One,Series A,2,,,,,,,,,,Yes,,https://www.chinst.com.cn/,,Early Stage Venture,2,"390,303",
2023-04-18,Quick Sensing is a high-pressure-pressure automotive sensor developer.,Quick Sensing,https://www.crunchbase.com/organization/quick-sensing,"Advanced Materials, Automotive, Sensor","Changshu, Jiangxi, China, Asia",Angel Round - Quick Sensing,https://www.crunchbase.com/funding_round/quick-sensing-angel--dec337a6,1,Northern Light Venture Capital,Seed,Northern Light Venture Capital,Angel,2,,,,,,,,,,Yes,,https://www.msgcz.com,,Early Stage Venture,,"388,792",
2023-04-14,"Le Ming Pharmaceuticals is a pharmaceutical enterprise focusing on R&D, production and sales of innovative pharmaceutical preparation.",Leming Pharmaceuticals,https://www.crunchbase.com/organization/leming-pharmaceuticals,Pharmaceutical,"Suzhou, Jiangsu, China, Asia",Series A - Leming Pharmaceuticals,https://www.crunchbase.com/funding_round/leming-pharmaceuticals-series-a--6860267e,3,"Guantian Capital, Ruihe Capital, Wuzhong Luduan Jinmiao Science and Technology Innovation Fund",Early Stage Venture,Wuzhong Luduan Jinmiao Science and Technology Innovation Fund,Series A,3,,,,,,,100000000,CNY,13799575,Yes,,http://www.lindmik.com/,,,,"393,359",
2023-02-01,Ouye Semiconductor is a supplier of smart automotive chips and solutions.,Ouye Semiconductor,https://www.crunchbase.com/organization/ouyeel-semiconductor,"Automotive, Autonomous Vehicles, Semiconductor","Shenzhen, Guangdong, China, Asia",Series A - Ouye Semiconductor,https://www.crunchbase.com/funding_round/ouyeel-semiconductor-series-a--808e175b,6,"CMG-SDIC Capital Management, Forebright Capital, Highland barley capital, Shang Qi Capital, SND Ventures Group, Sunic Capital",Early Stage Venture,CMG-SDIC Capital Management,Series A,6,,,,,,,,,,Yes,,http://oritek.com.cn,,Early Stage Venture,2,"399,411",
2023-04-26,Sichain Semi is a high-tech chip firm focused on the R&D and industrialization of Silicon Carbide semiconductors and its power devices.,Qingchun Semiconductor,https://www.crunchbase.com/organization/qingchun-semiconductor,"Electronics, Manufacturing, Semiconductor","Baoshan, Shanghai, China, Asia",Series A - Qingchun Semiconductor,https://www.crunchbase.com/funding_round/qingchun-semiconductor-series-a--7523f6ed,4,"Hillhouse Ventures, NIO Capital, Silan Ventures, Walden International",Early Stage Venture,Silan Ventures,Series A,3,,,,,,,,,,Yes,,http://sichainsemi.com/,,Early Stage Venture,2,"397,844",
2023-04-27,Breco is a brand-new supplier of tools and services for energy testing.,Breco,https://www.crunchbase.com/organization/breco-893e,"Electrical Distribution, Service Industry","Hangzhou, Zhejiang, China, Asia",Series A - Breco,https://www.crunchbase.com/funding_round/breco-893e-series-a--78b923ba,1,China Merchants Venture Capital,Early Stage Venture,China Merchants Venture Capital,Series A,2,,,,,,,,,,Yes,,,,Early Stage Venture,,"394,568",
2023-02-14,Zhu Hang Xian Sheng platform integrates online and offline food retailers to develop pork industry.,Zhu Hang Xian Sheng,https://www.crunchbase.com/organization/zhu-hang-xian-sheng,"E-Commerce, Food and Beverage, Food Processing","Hangzhou, Zhejiang, China, Asia",Seed Round - Zhu Hang Xian Sheng,https://www.crunchbase.com/funding_round/zhu-hang-xian-sheng-seed--861d6be8,2,"Zhongnan Financial Services, Zhongying Venture Capital",Seed,Zhongnan Financial Services,Seed,2,50000000,CNY,7323968,200000000,CNY,29295874,175000000,CNY,25480697,Yes,,,,Early Stage Venture,,"392,585",
2023-05-04,Chishine Optoelectronics is a 3D digital and intelligent hardware developer.,Chishine Optoelectronics,https://www.crunchbase.com/organization/chishine-optoelectronics,"3D Technology, Artificial Intelligence (AI), Hardware","Xian, Hunan, China, Asia",Private Equity Round - Chishine Optoelectronics,https://www.crunchbase.com/funding_round/chishine-optoelectronics-private-equity--e4ea9370,1,Haitong Innovation Capital Management,Private Equity,Haitong Innovation Capital Management,Private Equity,5,,,,,,,15175253,USD,15175253,Yes,,https://www.chishine3d.com/,,Private Equity,1,"400,035",
2023-02-23,"Conjustar, a protein-conjugated medicine developer, has established a robust R&D pipeline through its independent and introduction efforts.",Conjustar,https://www.crunchbase.com/organization/conjustar,"Health Care, Medical, Pharmaceutical","Shanghai, Shanghai, China, Asia",Seed Round - Conjustar,https://www.crunchbase.com/funding_round/conjustar-seed--bd9a90ac,3,"Fosun Health Capital, Ningbo Xinhui, Tahoe Venture",Seed,Fosun Health Capital,Seed,4,55000000,CNY,7961668,,,,290500000,CNY,41451977,Yes,,http://conjustar.com,,Seed,,"402,284",
2023-03-22,Hopson Technology is a natural product synthesis technology developer.,Hopson Technology,https://www.crunchbase.com/organization/hopson-technology,"Biotechnology, Health Care, Medical","Wuhan, Hubei, China, Asia",Series A - Hopson Technology,https://www.crunchbase.com/funding_round/hopson-technology-series-a--ce8fa72d,3,"Baiying Investment, China Mengniu Dairy, Frees Fund",Early Stage Venture,China Mengniu Dairy,Series A,3,,,,,,,30000000,CNY,4104473,Yes,,http://www.heshengtech.com.cn/,,Early Stage Venture,1,"397,401",
2023-03-01,Zhizhen Precision Instrument manufactures integrated circuit production lines and testing equipment.,Zhizhen Precision,https://www.crunchbase.com/organization/zhizhen-precision,"Application Specific Integrated Circuit (ASIC), Consumer Electronics, Manufacturing","Qingdao Shi, Shandong, China, Asia",Seed Round - Zhizhen Precision,https://www.crunchbase.com/funding_round/zhizhen-precision-seed--f8409abb,3,"China Fortune-Tech Capital, Qingdao Innovation Investment, Qingdao Science and Technology Fund",Seed,China Fortune-Tech Capital,Seed,3,,,,,,,,,,Yes,,https://www.truth-instruments.com,,Early Stage Venture,,"401,096",
2023-01-16,"Guangqi image focuses on research & development, Production and sale of photoelectronic display testing equipment.",Guangqi image,https://www.crunchbase.com/organization/guangqi-image,Digital Media,"Nanjing, Jiangsu, China, Asia",Angel Round - Guangqi image,https://www.crunchbase.com/funding_round/guangqi-image-angel--f8eaf5ee,1,Golden Rain Bogor,Seed,Golden Rain Bogor,Angel,3,,,,,,,,,,Yes,,https://www.lic-vision.com,,Early Stage Venture,,"404,934",
2023-04-06,Liying Bio is a biotechnology company that specializes in the development of innovative biological protein products.,Liying Bio,https://www.crunchbase.com/organization/liying-bio,"Biopharma, Biotechnology, Manufacturing, Medical","Shenzhen, Guangdong, China, Asia",Angel Round - Liying Bio,https://www.crunchbase.com/funding_round/liying-bio-angel--d3969342,5,"Dandelion Venture Capital, Dymind, New Vision Angel Fund, Shenzhen Weiguang Biological Products Co. Ltd., Wuxi Best Precision Machinery",Seed,New Vision Angel Fund,Angel,3,,,,,,,100000000,CNY,13702572,Yes,,http://www.lybio.com,,Early Stage Venture,1,"409,070",
2023-04-13,Jianxin Medical is a developer of intelligent dual-engine dynamic hybrid energy surgical systems.,Jianxin Medical,https://www.crunchbase.com/organization/jianxin-medical,Medical Device,"Qingdao Shi, Shandong, China, Asia",Series A - Jianxin Medical,https://www.crunchbase.com/funding_round/jianxin-medical-series-a--7054b923,1,Youth Venture Capital,Early Stage Venture,Youth Venture Capital,Series A,2,30000000,CNY,4367575,,,,30000000,CNY,4367575,Yes,,http://www.janesin.com/text_lists_532.html,,Early Stage Venture,,"408,741",
2023-02-01,Naco Energy is a high-performance sodium-ion battery cathode material research and development manufacturer.,Naco Energy,https://www.crunchbase.com/organization/naco-energy,"Advanced Materials, Battery, Energy, Manufacturing","Wuxi, Anhui, China, Asia",Angel Round - Naco Energy,https://www.crunchbase.com/funding_round/naco-energy-angel--c7d09f32,1,Wuxi Capital,Seed,Wuxi Capital,Angel,2,,,,,,,,,,Yes,,,,Seed,,"409,346",
2023-03-13,Tuohang Technology is a heavy-lift unmanned helicopter developer company.,Tuohang Technology,https://www.crunchbase.com/organization/tuohang-technology,"Aerospace, Manufacturing","Jiangjin, Chongqing, China, Asia",Seed Round - Tuohang Technology,https://www.crunchbase.com/funding_round/tuohang-technology-seed--4920317d,1,Guoding Capital,Seed,Guoding Capital,Seed,2,15000000,CNY,2191156,,,,3601156,USD,3601156,Yes,,,,Early Stage Venture,,"407,195",
2023-03-29,ExponTech is a provider of overall data infrastructure solutions based on a new generation of distributed architecture.,ExponTech,https://www.crunchbase.com/organization/huarui-index-cloud-expontech,"Big Data, Data Storage, Enterprise","Shenzhen, Guangdong, China, Asia",Seed Round - ExponTech,https://www.crunchbase.com/funding_round/huarui-index-cloud-expontech-seed--6821b0e4,3,"Cowin Capital, FutureCap, Security Capital",Seed,FutureCap,Seed,2,100000000,CNY,14519900,,,,200000000,CNY,28610559,Yes,,https://www.expontech.com/,,Early Stage Venture,2,"411,296",
2023-05-05,Tianmu Intelligence is an intelligent developer that focuses on developing and testing of automotive air conditioner and thermal management.,Tianmu Intelligent Technology,https://www.crunchbase.com/organization/tianmu-intelligent-technology,"Automotive, Intelligent Systems, Usability Testing","Changzhou, Zhejiang, China, Asia",Angel Round - Tianmu Intelligent Technology,https://www.crunchbase.com/funding_round/tianmu-intelligent-technology-angel--fcc0e419,2,"Richen Capital, Xiaomiao Langcheng",Seed,Richen Capital,Angel,3,,,,,,,,,,Yes,,,,Seed,,"412,207",
2023-04-28,"DP Technology is a global leader in ""AI for Science"", where AI tackles key challenges in scientific research and industrial R&D.",DP Technology,https://www.crunchbase.com/organization/dptechnology,"Advanced Materials, Artificial Intelligence (AI), Biotechnology, Software","Haidian, Beijing, China, Asia",Venture Round - DP Technology,https://www.crunchbase.com/funding_round/dptechnology-series-unknown--e28114d6,1,Huawei Hubble,,Huawei Hubble,Venture - Series Unknown,7,,,,,,,139842718,USD,139842718,Yes,,https://www.dp.tech,,,,"415,484",
2023-05-08,Extreme shell technology helps in creation and development of exoskeleton equipment for consumers.,Extreme shell technology,https://www.crunchbase.com/organization/extreme-shell-technology,"Information Technology, Manufacturing","Shanghai, Shanghai, China, Asia",Seed Round - Extreme shell technology,https://www.crunchbase.com/funding_round/extreme-shell-technology-seed--42340833,2,"Decent Capital, MiraclePlus",Seed,Decent Capital,Seed,2,,,,,,,,,,Yes,,https://www.hypershell.cc/,,Seed,1,"414,825",
2023-04-28,"Yanhuang Guoxin focuses on aerospace and other high-reliability fields, high-performance independent controllable power management chips.",Yanhuang Guoxin,https://www.crunchbase.com/organization/yanhuang-guoxin,"Advanced Materials, Aerospace, Manufacturing, Semiconductor","Changping, Beijing, China, Asia",Series A - Yanhuang Guoxin,https://www.crunchbase.com/funding_round/yanhuang-guoxin-series-a--92c5f661,1,Sinowisdom,Early Stage Venture,Sinowisdom,Series A,3,,,,,,,200000000,CNY,27665962,Yes,,https://yhgx-tech.com/,,Early Stage Venture,,"415,925",
2023-02-20,Qianchen Automobile is a smart electric commercial vehicle manufacturer of smart connected new energy commercial vehicles.,Qianchen Automobile,https://www.crunchbase.com/organization/qianchen-automobile,"Automotive, Clean Energy, CleanTech, Commercial, Electric Vehicle, Manufacturing","Shanghai, Shanghai, China, Asia",Series B - Qianchen Automobile,https://www.crunchbase.com/funding_round/qianchen-automobile-series-b--b6ecf5ae,1,NIO Capital,Early Stage Venture,NIO Capital,Series B,3,100000000,CNY,14587679,,,,78290063,USD,78290063,Yes,,https://www.newrizon.com,,Early Stage Venture,1,"418,299",
2023-04-24,Yika Zhiche is an intelligent digital mobile platform technology company.,Ecar Tech,https://www.crunchbase.com/organization/eka-smart-car,"Automotive, Autonomous Vehicles","Shanghai, Shanghai, China, Asia",Corporate Round - Ecar Tech,https://www.crunchbase.com/funding_round/eka-smart-car-corporate-round--1270e07d,1,egova,,egova,Corporate Round,4,,,,,,,200000000,CNY,28118717,Yes,,http://www.ecar.com/index.html,,,,"418,910",
2023-01-01,"Huakong Zhijia is an AI industry platform with products like industrial equipment health, intelligent voice, and city credit technologies.",Huakong Zhijia,https://www.crunchbase.com/organization/huakong-zhijia,"Artificial Intelligence (AI), Cloud Computing, Machine Learning, Software","Haidian, Beijing, China, Asia",Venture Round - Huakong Zhijia,https://www.crunchbase.com/funding_round/huakong-zhijia-series-unknown--ecfe5ed5,2,"Hypercycle Venture, Jianmu Investment",,,Venture - Series Unknown,2,,,,,,,,,,Yes,,http://www.aithu.com/index,,,,"432,401",
2023-03-08,"4D Bios integrates R&D, production, technical services, and promotes intelligent agricultural planting solutions, and system equipment.",4D Bios,https://www.crunchbase.com/organization/4d-bios,"Agriculture, AgTech, Farming","Hangzhou, Zhejiang, China, Asia",Series A - 4D Bios,https://www.crunchbase.com/funding_round/4d-bios-series-a--8c3e6afd,2,"Century Golden Resources Group, Xiamen Midai Asset Management",Early Stage Venture,,Series A,3,,,,,,,,,,Yes,,https://www.4d-bios.cn/,,Early Stage Venture,,"432,955",
2023-05-04,Zhenyi Yiliao is a medical enterprise focusing on structural heart disease.,Zhenyi Yiliao,https://www.crunchbase.com/organization/zhenyi-yiliao,Health Care,"Nantong, Jiangsu, China, Asia",Venture Round - Zhenyi Yiliao,https://www.crunchbase.com/funding_round/zhenyi-yiliao-series-unknown--39d9df44,3,"Anhui Life and Health Fund, Jianfa Xinxing Investment, Prox Ventures",,,Venture - Series Unknown,3,100000000,CNY,14478695,,,,100000000,CNY,14478695,Yes,,,,Early Stage Venture,,"433,185",
2023-03-23,Chasing Light is a manufacturing firm that specializes in organic semiconductor photovoltaic technology.,Chasing Light Technology,https://www.crunchbase.com/organization/chasing-light-technology,"Electronics, Manufacturing, Product Research, Semiconductor","Guangzhou, Guangdong, China, Asia",Angel Round - Chasing Light Technology,https://www.crunchbase.com/funding_round/chasing-light-technology-angel--047d6b0a,2,"BOE Technology Group, HSG",Seed,,Angel,4,,,,,,,100000000,CNY,13700882,Yes,,http://www.chasinglight.cn/,,Early Stage Venture,2,"433,572",
2023-03-02,Geneus is a developer of gene sequencers and reagents.,Geneus,https://www.crunchbase.com/organization/geneus,Biotechnology,"Chengdu, Sichuan, China, Asia",Series B - Geneus,https://www.crunchbase.com/funding_round/geneus-series-b--4d8802dc,2,"Dean Diagnostics, GF Xinde Investment Management",Early Stage Venture,,Series B,3,,,,,,,100000000,CNY,13726648,Yes,,http://www.geneus-tech.com/,,Early Stage Venture,2,"433,920",
2023-01-06,Shishi Chain is a B2B food chain company that focuses on the direct supply of foodstuffs from farmers to restaurants in the vicinity.,Shishilian,https://www.crunchbase.com/organization/shishilian,"B2B, Food and Beverage, Retail, Supply Chain Management","Yünnan, Yunnan, China, Asia",Angel Round - Shishilian,https://www.crunchbase.com/funding_round/shishilian-angel--9c502938,2,"Hejun Capital, Pinzhi Century",Seed,,Angel,2,10000000,CNY,1462309,,,,10000000,CNY,1462309,Yes,,http://www.sslfood.com/#/,,Seed,,"434,630",
2023-01-01,Joywell Semi is a tech manufacturing company that develops and manufactures integrated circuit chip designs.,Joywell Semi,https://www.crunchbase.com/organization/joywell-semi,"Application Specific Integrated Circuit (ASIC), Computer, Semiconductor","Pudong, Shandong, China, Asia",Venture Round - Joywell Semi,https://www.crunchbase.com/funding_round/joywell-semi-series-unknown--0a99633b,1,Huaye Tiancheng Capital,,,Venture - Series Unknown,2,,,,,,,,,,Yes,,https://joywellsemi.com/,,Private Equity,,"434,801",
2023-02-01,UGa Technology is a supplier of GaN RF chips.,UGa Technology,https://www.crunchbase.com/organization/uga-technology,"Electrical Distribution, Electronics, Semiconductor","Haidian, Beijing, China, Asia",Series A - UGa Technology,https://www.crunchbase.com/funding_round/uga-technology-series-a--2e8c2e4e,5,"Beijing Capital Science and Technology Development Group, Jianmu Investment, Lotus Lake Ventures, SEE Fund, Wonderland Capital",Early Stage Venture,,Series A,2,,,,,,,,,,Yes,,http://www.gaxtrem.com/,,Early Stage Venture,,"434,935",
2023-01-01,Convalife Pharmaceuticals is an innovative pharmaceutical company that specializes in drug research and development for tumor diseases.,Convalife Pharmaceuticals,https://www.crunchbase.com/organization/convalife-pharmaceuticals,"Biopharma, Medical, Pharmaceutical","Shanghai, Shanghai, China, Asia",Series B - Convalife Pharmaceuticals,https://www.crunchbase.com/funding_round/convalife-pharmaceuticals-series-b--99a39e2e,2,"Jointown Pharmaceutical Group, Shangyu Hangzhou Bay Economic Development Zone Holding Group",Early Stage Venture,,Series B,2,100000000,CNY,14496661,,,,200000000,CNY,28621753,Yes,,http://fukang.panyouwl.com,,Late Stage Venture,,"434,964",
2023-01-01,Sifli Technologies focuses on the design and application development of embedded artificial intelligence IoT platforms.,Sifli Technologies,https://www.crunchbase.com/organization/sifli-technologies,"Apps, Artificial Intelligence (AI), Internet of Things, Semiconductor, Wearables","Shanghai, Shanghai, China, Asia",Venture Round - Sifli Technologies,https://www.crunchbase.com/funding_round/sifli-technologies-series-unknown--7c3afc88,1,Grand Flight Investment,,,Venture - Series Unknown,2,,,,,,,100000000,CLP,101458,Yes,,http://www.sifli.com/,,,,"436,148",
2023-01-06,Newlink primarily operates as a digital energy service provider.,Newlink,https://www.crunchbase.com/organization/energy-chain,"Energy, Energy Management, Internet of Things","Beijing, Beijing, China, Asia",Private Equity Round - Newlink,https://www.crunchbase.com/funding_round/energy-chain-private-equity--a5ac1d33,1,Runwu Venture Capital,Private Equity,,Private Equity,11,300000000,CNY,43869270,,,,698561657,USD,698561657,Yes,,https://www.newlink.com,,Private Equity,,"436,141",
2023-01-20,Kuntian New Energy is a producer of anode materials for lithium-ion batteries.,Kuntian New Energy,https://www.crunchbase.com/organization/hebei-kuntian-new-energy,"Battery, Manufacturing","Shijiazhuang, Hebei, China, Asia",Venture Round - Kuntian New Energy,https://www.crunchbase.com/funding_round/hebei-kuntian-new-energy-series-unknown--a6096506,4,"CBC Capital, Everest Venture Capital, Hana Financial Investment, Xiamen C&D Corporation",,,Venture - Series Unknown,4,2000000000,CNY,294820012,,,,3334000000,CNY,484662807,Yes,,http://www.ktxny.com.cn/,,,,"436,280",
2023-01-01,Ming Gallium Semiconductor research and develops gallium oxide materials and power devices for semiconductors.,Ming Gallium Semiconductor,https://www.crunchbase.com/organization/minggal-semiconductor,"Advanced Materials, Manufacturing, Semiconductor","Beijing, Beijing, China, Asia",Venture Round - Ming Gallium Semiconductor,https://www.crunchbase.com/funding_round/minggal-semiconductor-series-unknown--9b7d6b94,1,Innoangel Fund,,,Venture - Series Unknown,4,,,,,,,99000000,CNY,14777884,Yes,,https://www.gao-tec.com.cn,,,,"441,936",
2023-03-24,SUNCN provides informatization construction services for a number of party and government agencies.,SUNCN,https://www.crunchbase.com/organization/suncn,"Government, Information Technology, Internet of Things","Hefei, Anhui, China, Asia",Post-IPO Equity - SUNCN,https://www.crunchbase.com/funding_round/suncn-post-ipo-equity--07f9efb9,1,Wentou Jianyuan Guanli Touzi,,,Post-IPO Equity,1,10000000,CNY,1456007,,,,10000000,CNY,1456007,Yes,,http://www.suncn.com.cn,,IPO,,"496,187",
2023-02-17,Hi after school is an entertainment and performance company.,Hi after school,https://www.crunchbase.com/organization/hi-after-school,"Education, Primary Education, Secondary Education","Yangpu, Hainan, China, Asia",Series A - Hi after school,https://www.crunchbase.com/funding_round/hi-after-school-series-a--e58cdea5,3,"ByteDance, Chuangxiang Huanju Investment, Meridian Capital Asia",Early Stage Venture,,Series A,2,,,,,,,10000000,CNY,1455837,Yes,,http://www.fangxuehai.cc/#/home-page,,Early Stage Venture,,"518,047",
